hit,time,file,points,state,conf,impact,impact_recalc,impact_match,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
66,11:00:34,hit_066_20260801_110034.csv,512,DEFECT,HIGH,86,85,0,0,0,293,0,5700745,5700745,-4642827,861683.4,,400,-107,坏棒 总长1000m 铁头 400
67,11:00:34,hit_067_20260801_110034.csv,512,DEFECT,LOW,92,91,0,0,0,352,0,6385572,4249112,-6385572,-218900.1,,400,-48,坏棒 总长1000m 铁头 400
68,11:00:35,hit_068_20260801_110035.csv,512,DEFECT,HIGH,83,82,0,0,0,279,0,7051069,7051069,-5638755,1010944.6,,400,-121,坏棒 总长1000m 铁头 400
69,11:00:35,hit_069_20260801_110035.csv,512,DEFECT,HIGH,80,79,0,0,0,279,0,6956497,6956497,-3750923,1594735.5,,400,-121,坏棒 总长1000m 铁头 400
70,11:00:35,hit_070_20260801_110035.csv,512,DEFECT,HIGH,84,83,0,0,0,264,0,8300002,8300002,-4712045,1982444.3,,400,-136,坏棒 总长1000m 铁头 400
71,11:00:36,hit_071_20260801_110036.csv,512,DEFECT,HIGH,81,80,0,0,0,279,0,5561791,5561791,-3808194,1134421.3,,400,-121,坏棒 总长1000m 铁头 400
72,11:00:36,hit_072_20260801_110036.csv,512,DEFECT,HIGH,79,78,0,0,0,264,0,7625980,7625980,-3794802,2043487.7,,400,-136,坏棒 总长1000m 铁头 400
73,11:00:36,hit_073_20260801_110036.csv,512,DEFECT,HIGH,80,79,0,0,0,249,0,8388607,8388607,-4220210,2401597.5,,400,-151,坏棒 总长1000m 铁头 400
74,11:00:37,hit_074_20260801_110037.csv,512,DEFECT,LOW,89,88,0,0,0,367,0,5922909,4455259,-5922909,-199436.2,,400,-33,坏棒 总长1000m 铁头 400
75,11:00:37,hit_075_20260801_110037.csv,512,DEFECT,HIGH,85,84,0,0,0,337,0,5648870,3918922,-5648870,82118.6,,400,-63,坏棒 总长1000m 铁头 400
76,11:00:37,hit_076_20260801_110037.csv,512,DEFECT,HIGH,87,86,0,0,0,323,0,6388953,3787923,-6388953,23843.2,,400,-77,坏棒 总长1000m 铁头 400
77,11:00:38,hit_077_20260801_110038.csv,512,DEFECT,HIGH,83,82,0,0,0,279,0,7158659,7158659,-4714083,1413327.1,,400,-121,坏棒 总长1000m 铁头 400
78,11:00:38,hit_078_20260801_110038.csv,512,DEFECT,HIGH,77,76,0,0,0,264,0,8388607,8388607,-5494136,1763294.6,,400,-136,坏棒 总长1000m 铁头 400
79,11:00:39,hit_079_20260801_110039.csv,512,DEFECT,HIGH,78,77,0,0,0,279,0,8388607,8388607,-5228607,1605782.8,,400,-121,坏棒 总长1000m 铁头 400
80,11:00:39,hit_080_20260801_110039.csv,512,DEFECT,HIGH,82,81,0,0,0,279,0,8388607,8388607,-5171165,1429102.0,,400,-121,坏棒 总长1000m 铁头 400
81,11:00:39,hit_081_20260801_110039.csv,512,DEFECT,HIGH,84,83,0,0,0,264,0,6540749,6540749,-4626709,852910.5,,400,-136,坏棒 总长1000m 铁头 400
82,11:00:40,hit_082_20260801_110040.csv,512,DEFECT,HIGH,83,82,0,0,0,308,0,5746242,5746242,-5001794,939645.0,,400,-92,坏棒 总长1000m 铁头 400
83,11:00:40,hit_083_20260801_110040.csv,512,DEFECT,HIGH,83,82,0,0,0,308,0,5998840,5998840,-4776083,1081452.5,,400,-92,坏棒 总长1000m 铁头 400
84,11:00:40,hit_084_20260801_110040.csv,512,DEFECT,HIGH,83,82,0,0,0,293,0,7477300,7477300,-4614857,1420023.8,,400,-107,坏棒 总长1000m 铁头 400
85,11:00:41,hit_085_20260801_110041.csv,512,DEFECT,HIGH,84,83,0,0,0,308,0,5870600,5870600,-5144189,910614.6,,400,-92,坏棒 总长1000m 铁头 400
86,11:00:41,hit_086_20260801_110041.csv,512,DEFECT,HIGH,98,97,0,0,0,323,0,6635045,3495461,-6635045,-695268.2,,400,-77,坏棒 总长1000m 铁头 400
87,11:00:42,hit_087_20260801_110042.csv,512,DEFECT,HIGH,82,81,0,0,0,308,0,7343136,7343136,-4630876,1388966.7,,400,-92,坏棒 总长1000m 铁头 400
88,11:00:42,hit_088_20260801_110042.csv,512,DEFECT,LOW,89,88,0,0,0,367,0,5592422,4706052,-5592422,-296594.4,,400,-33,坏棒 总长1000m 铁头 400
89,11:00:42,hit_089_20260801_110042.csv,512,DEFECT,HIGH,79,78,0,0,0,264,0,8388607,8388607,-5516412,1666130.8,,400,-136,坏棒 总长1000m 铁头 400
90,11:00:43,hit_090_20260801_110043.csv,512,DEFECT,HIGH,83,82,0,0,0,293,0,4294071,4013547,-4294071,324542.5,,400,-107,坏棒 总长1000m 铁头 400
91,11:00:43,hit_091_20260801_110043.csv,512,NORMAL,HIGH,81,80,0,0,0,0,0,1592787,1592787,-1394769,-125469.4,,400,,坏棒 总长1000m 铁头 400
92,11:00:43,hit_092_20260801_110043.csv,512,DEFECT,LOW,88,87,0,0,0,895,0,5494875,5494875,-5037642,-140898.1,,400,495,坏棒 总长1000m 铁头 400
93,11:00:44,hit_093_20260801_110044.csv,512,NORMAL,LOW,91,90,0,0,0,0,0,1905337,1905337,-1545076,-140127.7,,400,,坏棒 总长1000m 铁头 400
94,11:00:44,hit_094_20260801_110044.csv,512,DEFECT,HIGH,92,91,0,0,0,308,0,6263841,2900999,-6263841,-876566.7,,400,-92,坏棒 总长1000m 铁头 400
95,11:00:44,hit_095_20260801_110044.csv,512,DEFECT,LOW,86,85,0,0,0,866,0,5448593,5448593,-4470184,-177958.9,,400,466,坏棒 总长1000m 铁头 400
96,11:00:44,hit_096_20260801_110044.csv,512,DEFECT,HIGH,83,82,0,0,0,293,0,5915873,3494515,-5915873,-442796.1,,400,-107,坏棒 总长1000m 铁头 400
97,11:00:45,hit_097_20260801_110045.csv,512,DEFECT,HIGH,78,77,0,0,0,264,0,6150415,6150415,-5444533,869633.0,,400,-136,坏棒 总长1000m 铁头 400
98,11:00:45,hit_098_20260801_110045.csv,512,DEFECT,HIGH,85,84,0,0,0,279,0,6928168,6928168,-3130131,1448420.2,,400,-121,坏棒 总长1000m 铁头 400
99,11:00:45,hit_099_20260801_110045.csv,512,DEFECT,HIGH,91,90,0,0,0,308,0,5432973,4870704,-5432973,-12048.4,,400,-92,坏棒 总长1000m 铁头 400
100,11:00:46,hit_100_20260801_110046.csv,512,DEFECT,HIGH,81,80,0,0,0,264,0,8388607,8388607,-5441059,1534169.8,,400,-136,坏棒 总长1000m 铁头 400
